Obs,Stp,Exp,Res,Var,StRes,Wt,LProb,Measure,Displ,Status,MPCat,E1,E2,E3,M1,M2,M3,text_id,rater_id,band
44,44,49.41,-5.41,20.76,-1.19,1,-5.35,-0.63,-0.26,1,53,9,3,5,-0.58,0,0.05,Text9,R3,HOL
53,53,62.76,-9.76,26.2,-1.91,1,-2.78,-0.04,-0.37,1,63,12,3,1,-0.05,0,-0.01,Text12,R3,TR
57,57,60.84,-3.84,26.29,-0.75,1,-2.24,-0.11,-0.15,1,63,12,3,2,-0.05,0,0.07,Text12,R3,CC
63,63,67.35,-4.35,28.62,-0.81,1,-1.4,0.13,-0.15,1,63,12,3,3,-0.05,0,-0.17,Text12,R3,LR
63,63,60.94,2.06,26.27,0.4,1,-1.14,-0.11,0.08,1,63,12,3,4,-0.05,0,0.06,Text12,R3,GRA
56,56,61.25,-5.25,26.22,-1.02,1,-4.62,-0.1,-0.2,1,63,12,3,5,-0.05,0,0.05,Text12,R3,HOL
83,83,80.02,2.98,29.4,0.55,1,-1.22,0.57,0.1,1,83,33,3,1,0.56,0,-0.01,Text33,R3,TR
83,83,77.85,5.15,29.71,0.95,1,-1.51,0.5,0.17,1,73,33,3,2,0.56,0,0.07,Text33,R3,CC
83,83,84.67,-1.67,25.97,-0.33,1,-1.12,0.74,-0.06,1,83,33,3,3,0.56,0,-0.17,Text33,R3,LR
83,83,77.96,5.04,29.73,0.92,1,-1.5,0.5,0.17,1,73,33,3,4,0.56,0,0.06,Text33,R3,GRA
88,88,78.3,9.7,29.77,1.78,1,-6.29,0.51,0.33,1,83,33,3,5,0.56,0,0.05,Text33,R3,HOL
40,40,46.64,-6.64,23.63,-1.37,1,-2.35,-0.75,-0.28,1,43,5,4,1,-0.76,0,-0.01,Text5,R4,TR
43,43,44.91,-1.91,23.57,-0.39,1,-1.21,-0.83,-0.08,1,43,5,4,2,-0.76,0,0.07,Text5,R4,CC
40,40,50.3,-10.3,19.52,-2.33,1,-3.78,-0.59,-0.53,1,53,5,4,3,-0.76,0,-0.17,Text5,R4,LR
40,40,44.99,-4.99,23.61,-1.03,1,-1.94,-0.82,-0.21,1,43,5,4,4,-0.76,0,0.06,Text5,R4,GRA
39,39,45.27,-6.27,23.7,-1.29,1,-4.68,-0.81,-0.26,1,43,5,4,5,-0.76,0,0.05,Text5,R4,HOL
73,73,65.09,7.91,27.33,1.51,1,-2.15,0.05,0.29,1,63,13,4,1,0.04,0,-0.01,Text13,R4,TR
73,73,63.13,9.87,26.29,1.93,1,-2.8,-0.03,0.38,1,63,13,4,2,0.04,0,0.07,Text13,R4,CC
70,70,69.85,0.15,28.62,0.03,1,-2.13,0.22,0.01,1,73,13,4,3,0.04,0,-0.17,Text13,R4,LR
70,70,63.23,6.77,26.32,1.32,1,-2.97,-0.02,0.26,1,63,13,4,4,0.04,0,0.06,Text13,R4,GRA
